id	word	readings	meanings
1355850	場所	ばしょ	"place;location;spot;position
room;space
basho;wrestling tournament"
1154330	暗い;昏い;冥い;闇い	くらい	"dark;gloomy
dark (in colour);dull
depressed;dispirited
sorrowful;bitter (as in a dark past)
unclear;unfamiliar;unknown"
1497110	普及	ふきゅう	diffusion;spread;popularization;promulgation;familiarization
1407460	多い	おおい	"many;numerous;a lot
large quantity;large amount
frequent;common"
1428830	眺める	ながめる	to view;to gaze at
1499320	部屋	へや	"room;chamber
apartment;flat;pad
stable"
1532350	明るい;明い	あかるい	"bright;colourful
cheerful
familiar (with);knowledgeable (about)
fair (e.g. politics);clean"
1004820	これ迄;此れまで;是迄;此れ迄	これまで	"so far;up to now;hitherto
that's enough (for today);it ends here"
1409840	対応	たいおう	"interaction;correspondence;coping with;dealing with;support;response;reception
software support;ability of a computer system to run specific software;compatibility"
1596730	続々;続続	ぞくぞく	successively;one after another
1367010	人気	にんき	popularity;popular feeling;business conditions
1949190	他	た	other (esp. people and abstract matters)
1386060	設定	せってい	"establishment;creation;posing (a problem);setting (movie, novel, etc.);scene
options setting;preference settings;configuration;setup"
1219130	基調	きちょう	"basic tone;underlying tone;basic theme;basis;keynote
trend
keynote"
1472720	背景	はいけい	"background;scenery;backdrop;setting;circumstance;context
backing;support (from behind the scenes)"
1197610	画面	がめん	terminal screen;scene;picture;the field (in TV);photo
1251810	継続	けいぞく	continuation
1980660	身につける;身に付ける;身に着ける	みにつける	"to learn;to acquire knowledge
to carry;to wear (clothes, etc.);to put on"
1264540	言葉;詞;辞	ことば;けとば	"language;dialect
word;words;phrase;term;expression;remark
speech;(manner of) speaking"
1223240	記事	きじ	article;news story;report;account
1456360	読む	よむ	"to read
to count
to guess;to predict;to read (someone's thoughts);to see (e.g. into someone's heart);to divine"
1156800	意味	いみ	meaning;significance
1464580	日本語訳	にほんごやく	Japanese translation
1386020	設計	せっけい	plan;design;layout
1517090	方法	ほうほう	method;process;manner;way;means;technique
1536030	問題解決	もんだいかいけつ	problem-solving
1264670	限定	げんてい	limit;restriction
2037940	書	しょ	"document;book
penmanship;handwriting;calligraphy (esp. Chinese)"
1321260	実践	じっせん	practice;practising;putting into practice;implementation
1409420	体験	たいけん	personal experience;physical experience;one's own experience
2136180	小さな	ちいさな	small;little;tiny
1309530	思考	しこう	thought;consideration;thinking
2819970	だった	だった	was
1156530	意見	いけん	opinion;view;comment
1365310	親バカ;親ばか;親馬鹿	おやバカ;おやばか	over-fond parent;doting parent
1582670	二人;２人	ふたり;ににん	two persons;two people;pair;couple
1835640	いい子;好い子;良い児	いいこ;よいこ	good boy;good girl
1340430	出来	でき	"workmanship;craftsmanship;execution;finish
grades;results;score;record
quality (e.g. of a crop)
dealings;transactions"
1593670	探す;捜す	さがす	"to search (for something desired, needed);to look for
to search (for something lost);to seek (a suspect in a crime)"
1420010	男の子;男のコ;男の児	おとこのこ;おとこのコ	boy;male child;baby boy
1496520	夫妻	ふさい	man and wife;married couple
1512610	便利	べんり	convenient;handy;useful
2820720	実に;實に	じつに;げに;まことに	indeed;really;absolutely;truly;actually;very;quite
1434130	鶴;田鶴	つる;たず;ツル	crane (any bird of the family Gruidae, esp. the red-crowned crane, Grus japonensis)
1329000	趣味	しゅみ	"hobby;pastime
tastes;preference;liking"
1392130	詮索	せんさく	inquiry into;enquiry into;prying (into);investigation;search;exploration
1545820	様子;容子	ようす	"state;state of affairs;situation;circumstances
appearance;look;aspect
sign;indication"
1242350	近所	きんじょ	neighbourhood;neighborhood
1666370	垣根越し	かきねごし	"over the fence (e.g. looking, conducting a conversation)
back-fence"
2101130	氏	し	"Mr;Mrs;Ms;Miss
clan
he;him
counter for people"
1462920	二倍;２倍	にばい	double;twice;twofold
1580640	人	ひと;ヒト	"man;person
human being;mankind;people
human (Homo sapiens);humans as a species
character;personality
man of talent;true man
another person;other people;others
adult"
1497190	普通	ふつう	"general;ordinary;usual
normally;generally;usually
train that stops at every station"
1429770	長さ	ながさ	length
1400270	早瀬	はやせ	swift current;rapids
1597040	立つ;発つ	たつ	"to stand;to rise;to stand up
to find oneself (e.g. in a difficult position)
to depart (on a plane, train, etc.)"
1243150	金髪	きんぱつ;キンパツ	blond hair
1179330	奥さん	おくさん	wife;your wife;his wife;married lady;madam
1678440	口髭;口ひげ;口髯;口鬚	くちひげ	moustache;mustache
1232180	巨大	きょだい	huge;gigantic;enormous
2272590	穴あけ;穴開け	あなあけ	drilling
1380690	製造	せいぞう	manufacture;production
2015400	社	しゃ	"company;association;society
regional Chinese god of the earth (or a village built in its honour)
counter for companies, shrines, etc."
1322920	社長	しゃちょう	company president;manager;director
1281020	考える;勘える;稽える	かんがえる	"to think about;to take into consideration
to ponder;to reflect;to try to come at a conclusion;to think over (something)
to intend;to decide (to do);to plan
to come up with;to devise;to scheme
to predict;to anticipate;to expect
to suspect;to doubt
to consider (somebody to be something);to look on"
2028240	殆どない	ほとんどない	almost never;few and far between;little or nothing;hardly any;hardly anything at all;very little
1592270	首;頸;頚	くび;クビ	"neck
head
dismissal;discharge;firing (from a job)"
1409370	体型;体形	たいけい	"figure;body shape;build;physique;form
somatotype;biotype;habitus;(type of) physique"
1223680	起こる;起る	おこる	to occur;to happen
1331300	周辺	しゅうへん	"circumference;outskirts;environs;around;in the area of;in the vicinity of
(computer) peripheral"
1483090	彼ら;彼等	かれら	they (usually male);them
1340570	出来事;出来ごと	できごと;できこと	incident;affair;happening;event
1523890	摩訶不思議;まか不思議	まかふしぎ	mysterious;profound mystery
1368020	人種	じんしゅ	"race (of people)
type of person"
1364830	神秘	しんぴ	mystery;mysteriousness;secret
1484990	非常識	ひじょうしき	"lack of common sense;thoughtlessness;senselessness;irrationality;absurdity
thoughtless;senseless;unreasonable;absurd;preposterous;aberrant"
1467530	認める	みとめる	"to recognize;to recognise;to observe;to notice
to deem;to judge;to assess
to approve;to deem acceptable;to allow
to admit;to accept;to confess (to a charge)
to watch steadily;to observe carefully
to renown;to give renown to;to appreciate;to acknowledge"
1259290	見る;観る;視る	みる	"to see;to look;to watch;to view;to observe
to look over;to look on;to assess;to examine;to judge
to look after;to keep an eye on;to take care of
to view (e.g. flowers, movie)
to try;to try out;to test
to see that...;to find that..."
1318680	自慢	じまん	pride;boast
1583640	夫婦	ふうふ;めおと;みょうと	"married couple;spouses;husband and wife;couple;pair
his and hers;pair of objects, one larger (for man), one smaller (for woman)"
1454080	道;途;路;径	みち	"road;street;way;path;course;route;lane
distance;ways (e.g. ""a long ways"")
the way (of proper conduct, etc.);one's way;morals
teachings (esp. Confucian or Buddhist);dogma
field (of medicine, etc.);subject
way;method;means"
1492570	不思議	ふしぎ	wonder;miracle;strange;mystery;marvel;curiosity
1334110	住人	じゅうにん	dweller;inhabitant;resident
1482360	番地	ばんち	house number;address
1591240	傷つく;傷付く;疵つく;疵付く	きずつく	"to be wounded;to get injured
to get hurt feelings
to get damaged;to get chipped;to get scratched"
1217700	頑張る	がんばる	"to persevere;to persist;to keep at it;to hang on;to hold out;to do one's best
to insist that;to stick to (one's opinion)
to remain in a place;to stick to one's post;to refuse to budge"
1157150	為に;爲に	ために	"for;for the sake of;to one's advantage;in favor of;in favour of;on behalf of
because of;as a result of"
1192150	家族	かぞく	family;members of a family
1229350	求める	もとめる	"to want;to wish for
to request;to demand
to seek;to search for;to pursue (pleasure);to hunt (a job)
to purchase;to buy"
2166260	愛してる;愛死天流	あいしてる	I love you
1464180	日常	にちじょう	ordinary;regular;everyday;usual
1539040	優しい	やさしい	tender;kind;gentle;graceful;affectionate;amiable
1591110	聞く;聴く;訊く	きく	"to hear
to listen (e.g. to music)
to ask;to enquire;to query
to learn of;to hear about
to follow (advice);to comply with
to smell (esp. incense);to sample fragrance"
1416860	誰も	だれも	"everyone;anyone
no-one (with neg. verb)"
1894690	続き	つづき	sequel;continuation;(also suffix) continuation (in time and space);second series;succession;spell
1270250	おとぎ話;御伽噺;お伽話;お伽噺;御伽話;おとぎ噺	おとぎばなし	fairy-tale;nursery-tale
1404430	息抜き	いきぬき	taking a breather;relaxation;vent hole
2815270	月日が経つ;月日がたつ	つきひがたつ	passing of days and months;the months roll on
1414920	大分	だいぶ;だいぶん	considerably;greatly;a lot
1562560	脇役;傍役;わき役	わきやく	supporting role (actor);minor role
1502480	物語	ものがたり	tale;story;legend
1607260	履く;佩く;穿く;着く;帯く	はく	"to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.);to put on (or wear) footwear
to affix a sword to one's hip
to affix a bowstring to a bow"
1179320	奥;奧	おく	interior;inner part;inside
1272580	交流	こうりゅう	"(cultural) exchange;interchange;interaction;(inter-) mingling;(social, etc.) networking;intercourse
alternating current;AC"
1202170	皆さん	みなさん	all;everyone;everybody
1466260	入社	にゅうしゃ	joining a company;getting a job with a company;entering a company
1373860	世界	せかい	"the world;society;the universe
sphere;circle;world
renowned;world-famous;well-known outside of Japan
realm governed by one Buddha;space"
1262880	幻	まぼろし	phantom;vision;illusion;dream;apparition
1348880	少しずつ;少しづつ;少し宛	すこしずつ;すこしづつ	little by little
2397940	思い立ったが吉日	おもいたったがきちじつ;おもいたったがきちにち	no time like the present;make hay while the sun shines;it's the auspicious day when you've just thought of it
1471140	派手	はで	showy;loud;gay;flashy;gaudy
1634500	偶に;適に	たまに	occasionally;once in a while
1547390	欲張り;欲ばり	よくばり	avarice;covetousness;greed
